customer_id,gender,age,senior_citizen,region,contract_type,tenure_months,internet_service,payment_method,paperless_billing,streaming_service,tech_support,online_security,monthly_charges,discount_percent,total_charges,support_tickets,satisfaction_score,churn,churn_reason
CUST-10028,Male,47,No,South,One Year,47,DSL,Electronic Check,Yes,Yes,No,Yes,76.27,3.75,3564.38,1,3.1,No,Retained
CUST-10029,Female,48,No,South,One Year,24,Fiber Optic,Mailed Check,Yes,No,No,No,69.58,4.34,1738.08,2,4.1,No,Retained
CUST-10030,Male,50,No,South,One Year,23,Fiber Optic,Credit Card,Yes,Yes,Yes,Yes,69.54,4.39,1608.79,1,4.2,No,Retained
CUST-10031,Female,48,No,West,Month-to-Month,5,DSL,Electronic Check,Yes,No,No,Yes,81.61,3.87,437.91,3,1.9,Yes,No Long-Term Commitment
CUST-10032,Female,51,No,Midwest,Two Year,41,None,Bank Transfer,Yes,No,No,No,44.74,12.34,1830.65,0,3.7,No,Retained
CUST-10033,Male,61,No,West,Month-to-Month,19,Fiber Optic,Electronic Check,Yes,Yes,No,No,91.59,1.89,1730.83,5,2.3,No,Retained
CUST-10034,Male,45,No,South,One Year,28,DSL,Credit Card,No,No,Yes,No,86.83,3.4,2489.45,1,3.5,Yes,Price Too High
CUST-10035,Male,52,No,Northeast,Month-to-Month,27,Fiber Optic,Credit Card,Yes,Yes,Yes,No,82.96,0.37,2258.81,1,3.7,Yes,Competitor Offer
CUST-10036,Female,41,No,Northeast,Month-to-Month,22,DSL,Credit Card,Yes,Yes,Yes,No,100.12,1.51,2253.44,3,3.0,No,Retained
CUST-10037,Female,62,No,Midwest,Month-to-Month,16,DSL,Bank Transfer,Yes,Yes,No,Yes,65.58,1.27,1058.22,1,3.0,No,Retained
CUST-10038,Male,33,No,Northeast,Month-to-Month,1,DSL,Electronic Check,No,No,No,No,61.51,2.14,31.82,2,3.2,Yes,No Long-Term Commitment
CUST-10039,Female,67,Yes,West,Month-to-Month,12,Fiber Optic,Credit Card,No,Yes,No,No,70.79,2.64,829.06,2,3.3,Yes,No Long-Term Commitment
CUST-10040,Female,41,No,Northeast,Month-to-Month,24,DSL,Credit Card,Yes,Yes,No,Yes,75.98,2.81,1827.12,1,4.7,Yes,Competitor Offer
CUST-10041,Female,22,No,South,Month-to-Month,2,DSL,Bank Transfer,Yes,No,Yes,Yes,77.2,0.55,132.47,3,2.7,Yes,Competitor Offer
CUST-10042,Female,44,No,West,One Year,13,Fiber Optic,Bank Transfer,No,Yes,No,Yes,87.11,5.46,1093.67,2,3.0,Yes,Price Too High
CUST-10043,Male,32,No,South,Two Year,29,Fiber Optic,Credit Card,No,Yes,No,No,89.29,7.54,2631.46,1,3.1,No,Retained
CUST-10044,Female,54,No,South,Month-to-Month,25,Fiber Optic,Credit Card,Yes,Yes,No,No,86.01,3.56,2131.18,2,4.4,Yes,Price Too High
CUST-10045,Male,33,No,South,Month-to-Month,16,Fiber Optic,Electronic Check,Yes,Yes,No,No,80.26,1.8,1289.0,1,4.3,No,Retained
CUST-10046,Female,36,No,Midwest,Month-to-Month,5,DSL,Mailed Check,Yes,No,Yes,No,58.04,3.58,300.56,2,2.8,No,Retained
CUST-10047,Male,18,No,Midwest,Month-to-Month,26,Fiber Optic,Credit Card,No,Yes,Yes,Yes,106.9,3.46,2758.81,4,3.0,Yes,No Long-Term Commitment
CUST-10048,Male,36,No,West,One Year,35,Fiber Optic,Bank Transfer,Yes,No,No,No,66.12,2.99,2364.98,2,2.7,No,Retained
CUST-10049,Female,18,No,South,One Year,18,DSL,Electronic Check,Yes,No,No,No,65.48,7.75,1139.54,1,4.0,No,Retained
CUST-10050,Male,20,No,Northeast,Month-to-Month,19,Fiber Optic,Electronic Check,No,Yes,No,Yes,104.62,3.73,1996.94,4,3.7,Yes,No Long-Term Commitment
CUST-10051,Male,53,No,Midwest,Month-to-Month,29,DSL,Credit Card,No,Yes,No,No,50.49,2.86,1472.82,2,1.9,Yes,No Long-Term Commitment
CUST-10052,Male,53,No,West,Month-to-Month,3,Fiber Optic,Bank Transfer,No,Yes,No,Yes,103.61,3.71,308.93,2,2.3,Yes,Competitor Offer
CUST-10053,Male,48,No,Midwest,Two Year,37,None,Credit Card,No,No,No,No,54.32,13.41,1964.45,0,4.1,No,Retained
CUST-10054,Male,28,No,South,Two Year,51,DSL,Mailed Check,Yes,Yes,No,No,66.19,11.77,3406.17,1,3.4,No,Retained
CUST-10055,Male,41,No,West,Month-to-Month,27,DSL,Credit Card,Yes,Yes,No,No,78.83,0.46,2154.43,0,4.2,No,Retained
CUST-10056,Female,42,No,Northeast,Month-to-Month,26,Fiber Optic,Credit Card,Yes,No,No,No,87.41,1.17,2249.02,6,2.1,Yes,No Long-Term Commitment
CUST-10057,Female,26,No,South,Two Year,69,DSL,Electronic Check,No,Yes,No,Yes,64.35,13.85,4464.91,0,2.7,No,Retained
CUST-10058,Female,63,No,West,Two Year,23,Fiber Optic,Bank Transfer,Yes,Yes,No,No,83.41,7.52,1931.55,2,4.0,No,Retained
CUST-10059,Female,54,No,Northeast,Month-to-Month,2,Fiber Optic,Electronic Check,No,No,No,Yes,65.98,0.37,87.14,1,2.7,Yes,Poor Support Experience
CUST-10060,Female,39,No,Midwest,Month-to-Month,11,Fiber Optic,Bank Transfer,Yes,No,No,No,75.46,2.83,800.17,0,4.2,No,Retained
CUST-10061,Female,42,No,South,Month-to-Month,12,DSL,Mailed Check,No,Yes,No,No,75.69,2.94,948.12,1,3.4,No,Retained
CUST-10062,Male,45,No,South,One Year,33,Fiber Optic,Mailed Check,Yes,No,No,No,80.15,2.48,2655.78,1,5.0,No,Retained
CUST-10063,Female,18,No,South,Month-to-Month,18,DSL,Credit Card,Yes,Yes,Yes,Yes,96.63,1.19,1719.59,1,3.3,No,Retained
CUST-10064,Female,39,No,Midwest,Month-to-Month,13,Fiber Optic,Bank Transfer,No,No,No,No,65.45,1.88,820.8,2,3.8,No,Retained
CUST-10065,Male,32,No,West,One Year,42,Fiber Optic,Bank Transfer,Yes,No,No,No,65.42,6.02,2729.6,2,3.9,No,Retained
CUST-10066,Female,28,No,South,Month-to-Month,22,DSL,Electronic Check,No,No,No,No,80.14,3.16,1747.52,6,2.8,Yes,Poor Support Experience
CUST-10067,Male,38,No,Northeast,One Year,17,Fiber Optic,Credit Card,Yes,No,Yes,Yes,83.79,3.91,1394.82,5,2.7,No,Retained
CUST-10068,Female,67,Yes,West,Month-to-Month,2,DSL,Electronic Check,No,No,Yes,Yes,72.82,3.42,84.68,2,2.7,Yes,No Long-Term Commitment
CUST-10069,Male,51,No,South,Month-to-Month,5,Fiber Optic,Credit Card,Yes,No,Yes,Yes,85.37,3.21,466.75,2,3.1,Yes,Service Reliability Issues
CUST-10070,Male,34,No,West,One Year,12,DSL,Electronic Check,Yes,No,No,No,48.23,3.81,612.73,1,2.3,Yes,Poor Support Experience
CUST-10071,Female,50,No,Midwest,Month-to-Month,26,DSL,Electronic Check,No,Yes,Yes,No,97.2,1.3,2482.64,2,3.5,Yes,Moved/No Longer Needed
CUST-10072,Female,62,No,South,Two Year,37,Fiber Optic,Credit Card,Yes,Yes,No,No,70.41,13.79,2609.94,2,5.0,No,Retained
CUST-10073,Male,55,No,South,Month-to-Month,24,Fiber Optic,Credit Card,Yes,No,Yes,Yes,74.13,1.78,1747.54,1,3.9,No,Retained
CUST-10074,Male,43,No,Northeast,Month-to-Month,12,DSL,Credit Card,Yes,No,Yes,Yes,66.67,1.36,790.89,3,3.5,No,Retained
CUST-10075,Male,33,No,West,One Year,21,DSL,Electronic Check,Yes,Yes,Yes,No,53.39,2.89,1109.12,0,2.8,No,Retained
CUST-10076,Male,52,No,West,Month-to-Month,23,Fiber Optic,Credit Card,Yes,No,Yes,No,73.73,1.93,1680.82,6,1.8,Yes,No Long-Term Commitment
CUST-10077,Female,48,No,West,Two Year,51,Fiber Optic,Electronic Check,No,No,No,No,59.97,6.85,3128.57,3,4.0,No,Retained
CUST-10078,Female,55,No,South,Month-to-Month,30,DSL,Credit Card,Yes,No,No,No,67.13,0.42,1998.49,2,2.3,Yes,No Long-Term Commitment
CUST-10079,Female,51,No,South,Month-to-Month,28,DSL,Credit Card,Yes,No,No,Yes,57.6,0.56,1584.51,0,3.4,No,Retained
CUST-10080,Male,57,No,West,Month-to-Month,9,Fiber Optic,Credit Card,Yes,Yes,Yes,No,101.52,3.91,886.99,3,3.4,Yes,Price Too High
CUST-10081,Male,35,No,South,Month-to-Month,15,DSL,Bank Transfer,Yes,Yes,Yes,No,93.53,2.35,1439.48,0,4.3,No,Retained
CUST-10082,Female,60,No,South,Two Year,48,Fiber Optic,Electronic Check,Yes,Yes,No,No,87.32,10.32,4133.54,2,3.1,No,Retained
CUST-10083,Female,45,No,Northeast,One Year,18,DSL,Bank Transfer,No,Yes,No,Yes,68.98,8.54,1214.95,2,3.6,Yes,Moved/No Longer Needed
CUST-10084,Female,71,Yes,Northeast,Month-to-Month,5,Fiber Optic,Credit Card,No,No,Yes,Yes,89.91,0.86,500.19,4,2.7,Yes,Service Reliability Issues
CUST-10085,Female,32,No,Midwest,Month-to-Month,11,None,Credit Card,Yes,No,No,Yes,24.96,2.87,283.1,1,2.8,Yes,Poor Support Experience
CUST-10086,Male,66,Yes,Northeast,One Year,15,DSL,Credit Card,Yes,No,No,No,57.04,2.32,862.32,0,3.9,Yes,Moved/No Longer Needed
CUST-10087,Male,45,No,South,Two Year,63,DSL,Electronic Check,No,No,Yes,Yes,57.44,8.34,3693.35,0,4.2,No,Retained
CUST-10088,Male,33,No,Northeast,Month-to-Month,13,DSL,Credit Card,Yes,Yes,No,Yes,84.36,2.28,1105.3,0,3.9,Yes,No Long-Term Commitment
CUST-10089,Female,35,No,South,Month-to-Month,9,None,Credit Card,Yes,Yes,Yes,Yes,90.43,3.66,789.08,2,1.6,No,Retained
CUST-10090,Female,38,No,Northeast,Month-to-Month,21,DSL,Electronic Check,Yes,Yes,No,No,76.36,2.1,1593.69,3,4.5,No,Retained
CUST-10091,Male,48,No,Northeast,Two Year,57,Fiber Optic,Electronic Check,Yes,Yes,Yes,Yes,69.04,10.46,3895.54,0,3.1,No,Retained
CUST-10092,Male,49,No,Midwest,Month-to-Month,18,DSL,Electronic Check,No,No,No,No,54.4,2.29,1023.16,2,3.6,Yes,Competitor Offer
CUST-10093,Male,34,No,Northeast,Month-to-Month,15,DSL,Mailed Check,No,Yes,Yes,Yes,86.15,0.37,1312.36,0,3.9,No,Retained
CUST-10094,Male,42,No,West,One Year,47,DSL,Bank Transfer,Yes,Yes,No,Yes,76.59,3.11,3639.08,1,3.4,No,Retained
CUST-10095,Female,72,Yes,South,Month-to-Month,24,Fiber Optic,Electronic Check,Yes,Yes,Yes,No,86.13,0.12,2109.57,1,3.6,No,Retained
CUST-10096,Male,66,Yes,West,Month-to-Month,7,Fiber Optic,Electronic Check,No,No,No,Yes,83.2,2.05,567.9,3,2.6,Yes,Competitor Offer
CUST-10097,Female,48,No,Midwest,Month-to-Month,8,Fiber Optic,Credit Card,No,Yes,No,Yes,78.82,0.34,597.49,2,5.0,Yes,Competitor Offer
CUST-10098,Female,43,No,South,Month-to-Month,28,None,Bank Transfer,Yes,No,No,Yes,32.05,1.88,895.59,1,3.5,No,Retained
CUST-10099,Female,44,No,Midwest,Month-to-Month,3,Fiber Optic,Electronic Check,Yes,Yes,No,No,92.18,3.73,245.99,3,3.6,No,Retained
CUST-10100,Female,51,No,Northeast,Month-to-Month,15,None,Electronic Check,Yes,No,No,No,25.07,2.88,381.82,2,2.6,No,Retained
CUST-10101,Male,28,No,South,Month-to-Month,16,DSL,Bank Transfer,No,Yes,Yes,Yes,91.18,0.31,1498.5,1,4.0,No,Retained
CUST-10102,Female,38,No,Midwest,One Year,41,DSL,Electronic Check,No,No,Yes,Yes,55.1,2.59,2253.22,2,2.9,No,Retained
CUST-10103,Female,19,No,Northeast,One Year,26,DSL,Electronic Check,Yes,No,No,No,73.95,8.9,1927.95,2,2.4,Yes,Moved/No Longer Needed
CUST-10104,Male,48,No,Northeast,One Year,11,Fiber Optic,Mailed Check,No,No,Yes,No,69.2,6.12,757.92,1,2.9,No,Retained
CUST-10105,Female,51,No,Northeast,Month-to-Month,1,Fiber Optic,Credit Card,Yes,No,No,Yes,79.22,0.13,107.32,2,2.8,Yes,Competitor Offer
CUST-10106,Female,35,No,West,Month-to-Month,4,Fiber Optic,Electronic Check,Yes,Yes,Yes,No,95.75,3.25,359.63,5,2.5,Yes,Moved/No Longer Needed
CUST-10107,Male,64,No,Northeast,Month-to-Month,11,DSL,Electronic Check,Yes,Yes,No,No,63.75,2.25,624.37,1,5.0,No,Retained
CUST-10108,Female,25,No,Midwest,Month-to-Month,12,Fiber Optic,Electronic Check,Yes,Yes,No,No,87.76,2.18,1069.6,1,5.0,Yes,Price Too High
CUST-10109,Female,21,No,South,Month-to-Month,26,DSL,Electronic Check,Yes,No,No,No,64.34,3.83,1707.41,1,3.5,No,Retained
CUST-10110,Female,45,No,West,One Year,42,Fiber Optic,Bank Transfer,Yes,Yes,No,Yes,96.96,8.12,4087.94,2,3.9,No,Retained
CUST-10111,Female,57,No,Midwest,Month-to-Month,23,Fiber Optic,Credit Card,Yes,Yes,Yes,Yes,106.74,3.4,2432.61,2,2.1,Yes,Poor Support Experience
CUST-10112,Male,66,Yes,South,Month-to-Month,29,Fiber Optic,Bank Transfer,Yes,No,No,No,72.89,1.42,2074.08,4,1.3,Yes,Service Reliability Issues
CUST-10113,Male,36,No,Midwest,Month-to-Month,21,None,Mailed Check,Yes,No,Yes,No,42.28,2.22,905.19,1,3.8,Yes,Competitor Offer
CUST-10114,Male,57,No,Midwest,One Year,32,DSL,Credit Card,Yes,Yes,No,Yes,99.22,6.56,3179.99,0,4.1,No,Retained
CUST-10115,Male,41,No,South,Month-to-Month,7,Fiber Optic,Electronic Check,Yes,No,No,No,86.27,1.29,599.49,4,3.3,Yes,No Long-Term Commitment
CUST-10116,Male,40,No,West,One Year,45,DSL,Credit Card,Yes,No,No,No,46.39,5.22,2151.34,0,4.9,Yes,Competitor Offer
CUST-10117,Female,54,No,Midwest,Month-to-Month,13,Fiber Optic,Mailed Check,Yes,Yes,Yes,No,95.29,0.95,1205.63,3,2.6,No,Retained
CUST-10118,Male,51,No,West,Two Year,34,None,Bank Transfer,No,Yes,Yes,No,49.35,6.86,1740.03,2,3.6,No,Retained
CUST-10119,Male,20,No,South,Two Year,70,DSL,Electronic Check,No,No,Yes,No,57.11,12.65,3998.81,3,3.9,No,Retained
CUST-10120,Male,63,No,South,Month-to-Month,16,Fiber Optic,Bank Transfer,No,No,Yes,Yes,72.05,2.96,1088.56,2,4.5,Yes,Competitor Offer
CUST-10121,Male,61,No,West,Month-to-Month,30,DSL,Credit Card,Yes,Yes,Yes,No,71.35,3.66,2134.23,1,3.0,Yes,Moved/No Longer Needed
CUST-10122,Female,33,No,Northeast,Month-to-Month,29,Fiber Optic,Mailed Check,Yes,Yes,No,No,107.73,1.83,3157.75,1,3.6,No,Retained
CUST-10123,Female,48,No,South,Month-to-Month,4,None,Electronic Check,No,No,Yes,Yes,56.46,2.57,213.06,2,4.0,Yes,No Long-Term Commitment
CUST-10124,Female,49,No,Midwest,One Year,45,Fiber Optic,Credit Card,Yes,No,No,Yes,49.92,4.2,2194.78,2,3.6,No,Retained
CUST-10125,Female,46,No,South,Two Year,27,DSL,Bank Transfer,Yes,No,No,No,70.05,6.1,1885.59,2,3.0,No,Retained
CUST-10126,Male,34,No,West,One Year,36,Fiber Optic,Credit Card,Yes,Yes,No,Yes,99.32,7.25,3545.52,2,3.2,No,Retained
CUST-10127,Male,33,No,Northeast,Two Year,64,DSL,Credit Card,No,Yes,No,No,63.17,6.68,4060.09,3,3.7,No,Retained
CUST-10128,Female,42,No,Midwest,Month-to-Month,10,DSL,Electronic Check,Yes,No,Yes,Yes,79.01,3.18,817.17,3,2.6,No,Retained
CUST-10129,Female,58,No,South,Month-to-Month,25,DSL,Electronic Check,No,Yes,No,Yes,66.99,1.03,1637.78,1,2.8,No,Retained
CUST-10130,Female,50,No,West,One Year,17,DSL,Electronic Check,No,No,Yes,No,57.94,5.58,960.28,0,5.0,No,Retained
CUST-10131,Female,37,No,South,Month-to-Month,26,DSL,Mailed Check,Yes,No,No,Yes,80.76,3.84,2126.24,3,3.4,No,Retained
CUST-10132,Female,53,No,West,One Year,42,Fiber Optic,Electronic Check,No,Yes,Yes,No,89.67,2.26,3736.08,2,3.9,No,Retained
CUST-10133,Female,18,No,Midwest,Month-to-Month,16,Fiber Optic,Credit Card,Yes,No,No,No,52.1,2.73,795.72,4,3.2,Yes,Poor Support Experience
CUST-10134,Male,58,No,South,Month-to-Month,1,Fiber Optic,Bank Transfer,No,Yes,No,Yes,89.65,3.85,48.4,3,3.7,Yes,Price Too High
CUST-10135,Female,18,No,South,Two Year,39,None,Electronic Check,Yes,No,No,Yes,38.08,11.57,1497.44,1,3.8,No,Retained
CUST-10136,Female,37,No,West,Month-to-Month,9,Fiber Optic,Credit Card,No,Yes,Yes,Yes,111.4,3.45,1013.42,0,4.1,No,Retained
CUST-10137,Male,26,No,Northeast,Two Year,23,DSL,Bank Transfer,Yes,Yes,Yes,Yes,78.33,8.03,1777.65,1,2.9,No,Retained
CUST-10138,Female,24,No,Northeast,Two Year,16,DSL,Bank Transfer,No,No,No,No,51.47,6.32,823.7,4,1.6,Yes,Poor Support Experience
CUST-10139,Male,58,No,South,One Year,33,Fiber Optic,Credit Card,Yes,No,No,Yes,86.75,8.24,2916.2,1,3.0,No,Retained
CUST-10140,Male,35,No,Midwest,One Year,40,Fiber Optic,Bank Transfer,Yes,Yes,Yes,Yes,100.1,2.29,3969.91,3,1.8,Yes,Service Reliability Issues
CUST-10141,Female,47,No,West,One Year,10,Fiber Optic,Electronic Check,No,No,Yes,No,72.15,2.5,653.19,2,1.8,No,Retained
CUST-10142,Female,41,No,West,Two Year,45,Fiber Optic,Mailed Check,No,Yes,Yes,Yes,97.69,14.95,4411.98,1,3.6,No,Retained
CUST-10143,Female,49,No,Midwest,Month-to-Month,14,Fiber Optic,Electronic Check,Yes,Yes,No,Yes,93.05,3.4,1298.84,1,2.0,Yes,Competitor Offer
CUST-10144,Female,43,No,Northeast,Month-to-Month,2,Fiber Optic,Bank Transfer,Yes,Yes,Yes,Yes,98.48,2.53,172.11,0,4.4,No,Retained
CUST-10145,Female,24,No,Northeast,One Year,18,DSL,Electronic Check,Yes,Yes,No,No,71.5,3.55,1309.82,0,5.0,No,Retained
CUST-10146,Male,56,No,West,Month-to-Month,7,None,Mailed Check,No,Yes,No,No,37.03,0.31,288.58,1,2.6,Yes,Poor Support Experience
CUST-10147,Female,35,No,West,Month-to-Month,10,Fiber Optic,Bank Transfer,No,Yes,No,No,79.21,3.01,714.81,2,3.7,Yes,Service Reliability Issues
CUST-10148,Female,20,No,Midwest,Month-to-Month,13,Fiber Optic,Bank Transfer,No,Yes,No,Yes,91.3,2.91,1164.06,1,4.9,No,Retained
CUST-10149,Female,36,No,South,One Year,19,Fiber Optic,Electronic Check,Yes,Yes,No,Yes,88.9,3.01,1770.21,3,2.5,No,Retained
CUST-10150,Male,63,No,West,Two Year,22,DSL,Credit Card,Yes,No,No,No,69.48,7.69,1548.98,1,4.2,No,Retained
CUST-10151,Female,54,No,West,Month-to-Month,10,DSL,Credit Card,Yes,No,Yes,No,67.31,3.31,696.76,1,5.0,No,Retained
CUST-10152,Female,37,No,Midwest,Two Year,49,Fiber Optic,Bank Transfer,No,Yes,No,No,89.33,9.09,4418.22,3,1.6,Yes,Service Reliability Issues
CUST-10153,Female,37,No,South,One Year,9,Fiber Optic,Electronic Check,Yes,No,No,Yes,76.12,7.29,685.68,1,2.9,No,Retained
CUST-10154,Male,37,No,South,Two Year,64,DSL,Mailed Check,No,No,No,Yes,70.42,10.5,4534.76,1,4.2,No,Retained
CUST-10155,Female,71,Yes,Northeast,One Year,38,DSL,Bank Transfer,Yes,No,No,No,63.0,2.73,2419.13,0,5.0,No,Retained
CUST-10156,Male,47,No,South,One Year,12,Fiber Optic,Electronic Check,Yes,No,Yes,No,76.63,7.85,938.43,2,2.9,No,Retained
CUST-10157,Male,48,No,West,Month-to-Month,24,DSL,Bank Transfer,Yes,No,No,No,58.89,1.59,1402.09,2,5.0,No,Retained
CUST-10158,Female,56,No,South,One Year,46,Fiber Optic,Credit Card,Yes,Yes,Yes,No,80.34,3.84,3701.66,4,3.1,No,Retained
CUST-10159,Male,45,No,South,Month-to-Month,8,Fiber Optic,Credit Card,Yes,No,No,No,81.13,1.16,628.45,1,2.2,No,Retained
CUST-10160,Female,38,No,South,Two Year,48,DSL,Electronic Check,Yes,No,Yes,No,61.93,6.9,2973.09,2,4.8,No,Retained
CUST-10161,Male,39,No,South,Two Year,62,DSL,Credit Card,Yes,No,No,No,49.43,8.43,3023.76,4,2.6,No,Retained
CUST-10162,Male,41,No,Northeast,Month-to-Month,10,Fiber Optic,Bank Transfer,No,No,Yes,No,95.43,0.88,926.63,1,3.8,Yes,Price Too High
CUST-10163,Male,41,No,South,Month-to-Month,11,None,Credit Card,Yes,Yes,No,No,34.26,2.11,366.98,1,2.4,Yes,No Long-Term Commitment
CUST-10164,Female,52,No,Northeast,One Year,20,Fiber Optic,Credit Card,Yes,No,No,Yes,74.11,3.67,1449.17,1,3.1,No,Retained
CUST-10165,Male,43,No,West,Month-to-Month,6,DSL,Bank Transfer,Yes,No,Yes,Yes,82.6,3.2,477.92,0,2.8,Yes,Competitor Offer
CUST-10166,Female,52,No,West,Two Year,26,DSL,Bank Transfer,Yes,Yes,No,No,65.06,14.16,1685.82,2,2.2,No,Retained
CUST-10167,Female,41,No,West,Month-to-Month,5,DSL,Electronic Check,No,Yes,No,No,69.79,2.3,363.03,2,3.6,Yes,Moved/No Longer Needed
CUST-10168,Female,43,No,West,Month-to-Month,29,None,Bank Transfer,Yes,No,No,No,40.77,0.59,1215.55,3,3.7,No,Retained
CUST-10169,Male,18,No,Midwest,Two Year,30,Fiber Optic,Credit Card,No,No,Yes,Yes,81.85,10.2,2439.27,3,2.8,Yes,Service Reliability Issues
CUST-10170,Male,55,No,South,One Year,15,None,Electronic Check,Yes,No,No,Yes,24.69,4.31,417.08,1,2.6,No,Retained
CUST-10171,Female,47,No,West,Two Year,23,DSL,Electronic Check,Yes,No,No,No,47.82,14.32,1132.71,1,2.7,No,Retained
CUST-10172,Female,56,No,Northeast,Month-to-Month,22,DSL,Credit Card,Yes,Yes,No,Yes,94.4,3.08,2094.44,1,3.7,No,Retained
CUST-10173,Female,18,No,Northeast,One Year,9,Fiber Optic,Bank Transfer,Yes,Yes,No,Yes,82.4,4.29,746.98,2,3.6,No,Retained
CUST-10174,Male,71,Yes,Northeast,One Year,36,DSL,Credit Card,Yes,Yes,No,Yes,68.08,8.22,2462.05,3,3.6,No,Retained
CUST-10175,Female,40,No,West,One Year,23,DSL,Bank Transfer,No,Yes,Yes,No,70.92,2.18,1672.71,2,4.7,Yes,Moved/No Longer Needed
